Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
ABW,Aruba,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,29.57481,..,..,..,..,..,..,..,..,..,29.57481,..,..,..,..,..,..,..,..,..,..,..
ADO,Andorra,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
AFG,Afghanistan,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
AGO,Angola,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0.2082346,..,..,..,..,..,..,..,..,..,0.2082346,..,..,..,..,..,..,..,..,..,..,..
ALB,Albania,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,4.967875,..,..,..,..,..,..,..,..,..,4.967875,..,..,..,..,..,..,..,..,..,..,..
ARE,United Arab Emirates,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,4.644515,..,..,..,..,..,..,..,..,..,4.644515,..,..,..,..,..,..,..,..,..,..,..
ARG,Argentina,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.230535,..,..,..,..,..,..,..,..,..,1.230535,..,..,..,..,..,..,..,..,..,..,..
ARM,Armenia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
ASM,American Samoa,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,17.89262,..,..,..,..,..,..,..,..,..,17.89262,..,..,..,..,..,..,..,..,..,..,..
ATG,Antigua and Barbuda,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,32.42317,..,..,..,..,..,..,..,..,..,32.42317,..,..,..,..,..,..,..,..,..,..,..
AUS,Australia,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,1.141535,..,..,..,..,..,..,..,..,..,1.141535,..,..,..,..,..,..,..,..,..,..,..
AUT,Austria,AG.LND.EL5M.ZS,Land area below 5m (% of land area),0,1,0,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..
